Percentage,Location,Image 1 (outline),Image 2 (satellite)
51.007,Aramane Nagar,'35 Aramane Nagar outline.png','35 Aramane Nagar.png'
35.198,Mathikere,'36 Mathikere outline.png','36 Mathikere.png'
18.003,Yeshwanthpur,'37 Yeshwanthpur outline.png','37 Yeshwanthpur.png'
18.774,H.M.T,'38 H.M.T outline.png','38 H.M.T.png'
9.722,Chokkasandra,'39 Chokkasandra outline.png','39 Chokkasandra.png'
22.284,Yelahanka,'4 Yelahanka outline.png','4 Yelahanka.png'
5.558,Dodda Bidarkallu,'40 Dodda Bidarkallu outline.png','40 Dodda Bidarkallu.png'
13.002,Peenya,'41 Peenya outline.png','41 Peenya.png'
0.0,Lakshmidevi Nagar,'42 Lakshmidevi Nagar outline.png','42 Lakshmidevi Nagar.png'
10.482,Nandini Layout,'43 Nandini Layout outline.png','43 Nandini Layout.png'
24.854,Marappana Palya,'44 Marappana Palya outline.png','44 Marappana Palya.png'
34.317,Malleshwaram,'45 Malleshwaram outline.png','45 Malleshwaram.png'
32.287,Jayachamarajendra Nagar,'46 Jayachamarajendra Nagar outline.png','46 Jayachamarajendra Nagar.png'
30.382,Devarajeevanahalli,'47 Devarajeevanahalli outline.png','47 Devarajeevanahalli.png'
7.908,Muneshwara Nagar,'48 Muneshwara Nagar outline.png','48 Muneshwara Nagar.png'
5.957,Lingarajapuram,'49 Lingarajapuram outline.png','49 Lingarajapuram.png'
0.959,Jakkur,'5 Jakkur outline.png','5 Jakkur.png'
42.339,Benniganahalli,'50 Benniganahalli outline.png','50 Benniganahalli.png'
18.138,Vijanapura,'51 Vijanapura outline.png','51 Vijanapura.png'
17.215,K.R.Puram,'52 K.R.Puram outline.png','52 K.R.Puram.png'
22.589,Basavanapura,'53 Basavanapura outline.png','53 Basavanapura.png'
23.344,Hoodi,'54 Hoodi outline.png','54 Hoodi.png'
11.021,Devasandra,'55 Devasandra outline.png','55 Devasandra.png'
4.324,A.Narayanapura,'56 A.Narayanapura outline.png','56 A.Narayanapura.png'
26.568,C.V.Raman Nagar,'57 C.V.Raman Nagar outline.png','57 C.V.Raman Nagar.png'
9.447,Hosathippasandra,'58 Hosathippasandra outline.png','58 Hosathippasandra.png'
14.863,Maruthiseva Nagar,'59 Maruthiseva Nagar outline.png','59 Maruthiseva Nagar.png'
9.813,Thanisandra,'6 Thanisandra outline.png','6 Thanisandra.png'
24.854,Sagayapuram,'60 Sagayapuram outline.png','60 Sagayapuram.png'
26.346,S.K.Garden,'61 S.K.Garden outline.png','61 S.K.Garden.png'
7.184,Ramaswamy Palya,'62 Ramaswamy Palya outline.png','62 Ramaswamy Palya.png'
37.721,Jayamahal,'63 Jayamahal outline.png','63 Jayamahal.png'
34.741,Rajamahal,'64 Rajamahal outline.png','64 Rajamahal.png'
17.166,Kadumalleshwara,'65 Kadumalleshwara outline.png','65 Kadumalleshwara.png'
23.402,Subramanya Nagar,'66 Subramanya Nagar outline.png','66 Subramanya Nagar.png'
25.753,Nagapura,'67 Nagapura outline.png','67 Nagapura.png'
22.065,Mahalakshmipuram,'68 Mahalakshmipuram outline.png','68 Mahalakshmipuram.png'
4.069,Laggere,'69 Laggere outline.png','69 Laggere.png'
11.655,Byatarayanapura,'7 Byatarayanapura outline.png','7 Byatarayanapura.png'
8.658,Rajagopala Nagar,'70 Rajagopala Nagar outline.png','70 Rajagopala Nagar.png'
2.495,Hegganahalli,'71 Hegganahalli outline.png','71 Hegganahalli.png'
44.221,Herohalli,'72 Herohalli outline.png','72 Herohalli.png'
21.913,Kottigepalya,'73 Kottigepalya outline.png','73 Kottigepalya.png'
17.828,Shakthiganapathi Nagar,'74 Shakthiganapathi Nagar outline.png','74 Shakthiganapathi Nagar.png'
39.231,Shankaramata,'75 Shankaramata outline.png','75 Shankaramata.png'
13.999,Gayathri Nagar,'76 Gayathri Nagar outline.png','76 Gayathri Nagar.png'
16.94,Dattathreya Temple,'77 Dattathreya Temple outline.png','77 Dattathreya Temple.png'
30.794,Pulikeshi Nagar,'78 Pulikeshi Nagar outline.png','78 Pulikeshi Nagar.png'
32.88,Sarvagna Nagar,'79 Sarvagna Nagar outline.png','79 Sarvagna Nagar.png'
19.453,Kodigehalli,'8 Kodigehalli outline.png','8 Kodigehalli.png'
7.606,Hoysala Nagar,'80 Hoysala Nagar outline.png','80 Hoysala Nagar.png'
4.379,Vignana Nagar,'81 Vignana Nagar outline.png','81 Vignana Nagar.png'
20.384,Garudacharpalya,'82 Garudacharpalya outline.png','82 Garudacharpalya.png'
